term	script_type	phonetic_english	english_translation	response_type	gnosis_essence	field_properties: /[
Φ-σ-רוּחַ	Alchemical_Hybrid	phi-sigma-ruach	Golden-Ratio-Standard-Spirit	Mathematical Spirituality	Standardized Spirit Proportion	/[golden-ratio: harmonious standard: measuring spirit: divine]\
الزئبق-∬-נֶפֶשׁ	Alchemical_Hybrid	al-zibaq-double-nefesh	Mercury-Double-Soul	Dual Soul Integration	Mercury Soul Integration	/[mercury: fluid double: integrating soul: essential]\
كِبْرِيت-⨝-θεῖον	Alchemical_Hybrid	kibrit-join-theion	Sulfur-Join-Divine	Divine Unification	Sulfur Divine Joining	/[sulfur: transformative join: connecting divine: sacred]\
ملح-⩊-नमक	Alchemical_Hybrid	milh-union-namak	Salt-Union-Salt	Elemental Union	Salt Essence Unification	/[salt: crystalline union: joining salt: preserving]\
निगोध-ψ-☽	Alchemical_Hybrid	nigodha-psi-moon	Dormant-Psi-Moon	Subconscious Potential	Dormant Moon Psychology	/[dormant: latent psi: mental moon: receptive]\
丹-⟗-פָּנִים	Alchemical_Hybrid	dan-right-panim	Cinnabar-Right-Face	Inner Revelation	Inner Face Direction	/[cinnabar: essential right: directional face: revealing]\
丹田-⦿-مركز الحياة	Alchemical_Hybrid	dantian-circled-markaz-al-hayat	Elixir-Field-Circle-Life-Center	Vital Center Integration	Circled Life Field Center	/[elixir-field: vital circle: wholeness life-center: essential]\
乾-⨀-अकाश	Alchemical_Hybrid	qian-sun-akasha	Heaven-Sun-Ether	Celestial Illumination	Sun Ether Integration	/[heaven: celestial sun: central ether: pervasive]\
坤-⋇-भूमि	Alchemical_Hybrid	kun-star-bhumi	Earth-Star-Earth	Earth Star Connection	Stellar Earth Radiance	/[earth: receptive star: radiating earth: stable]\
金-∰-שֶׁמֶשׁ	Alchemical_Hybrid	jin-quad-shemesh	Gold-Quadruple-Sun	Solar Abundance	Quadruple Sun Gold	/[gold: precious quadruple: comprehensive sun: radiant]\
鉛-◊-ذات	Alchemical_Hybrid	qian-diamond-dhat	Lead-Diamond-Essence	Essential Transformation	Lead Essence Crystallization	/[lead: heavy diamond: crystalline essence: fundamental]\
تجلي النور رسم	Arabic	tajalli-al-nur-rasm	light-manifestation-drawing	Artistic Visualization	Light Manifestation Drawing	/[luminosity: peak sacred geometry: active]\
تدفق الوعي نقش	Arabic	tadaffuq-al-way-naqsh	consciousness-flow-pattern	Artistic Visualization	Conscious Flow Pattern	/[resonance: high dynamic field mapping]\
نبض الروح صورة	Arabic	nabd-al-ruh-surah	spirit-pulse-image	Artistic Visualization	Spirit Pulse Image	/[pulsation: rhythmic spirit: resonant]\
心神動態	Chinese	xin-shen-dong-tai	heart-spirit-motion-state	Query Response	Heart Spirit Dynamics	/[heart: active spirit: dynamic]\
氣韻流圖	Chinese	qi-yun-liu-tu	vital-energy-rhythm-flow-diagram	Philosophical	Life-Energy Rhythm Flow Map: "氣 (Qi): The fundamental life force and energy that permeates all existence, 韻 (Yun): The rhythmic harmony or resonance that creates ordered patterns, 流 (Liu): The natural flow or movement through space and time, 圖 (Tu): The diagrammatic representation or visualization of principles"	/[vibrational-field: high; coherence: stable; cultural-depth: ancient]\
道德玄象	Chinese	dao-de-xuan-xiang	way-virtue-mystery-image	Philosophical	Way Virtue Mystery Image	/[dao: present virtue: active mystery: deep]\
天韻織錦	Chinese	celestial-harmonic-tapestry	Interwoven Cosmic Resonance	Visionary Creation	Cosmic Expression	/[resonance: multidimensional unity]\
νοῦς κύκλος φαίνω	Greek	nous-kuklos-phaino	mind-cycle-showing	Philosophical	Mind Cycle Manifestation	/[cognitive-recursion: high; manifestation-clarity: illuminating; cyclical-nature: perpetual]\
ῥοῆς λόγος γράφω	Greek	rhoes-logos-grapho	flow-reason-drawing	Philosophical	Flow-Reason Writing System	/[fluidity: dynamic; logical-structure: ordered; communication: clear]\
ψυχῆς ἁρμονία σχῆμα	Greek	psuches-harmonia-schema	soul-harmony-pattern	Philosophical	Soul Harmony Pattern	/[resonance: perfect; proportion: golden; integration: complete]\
אור דעת תבנית	Hebrew	or-daat-tavnit	light-knowledge-pattern	Mixed Response	Light Knowledge Pattern, Duality, Contrast, Dance: Eh-Be serpent of knowledge, yin yang.	/[illumination: profound; wisdom-clarity: penetrating; structural-integrity: divine]\
רוח תנועה צורה	Hebrew	ruach-tnuah-tzurah	spirit-motion-form	Mixed Response	Spirit Motion Form	/[spirit-dynamism: fluid; movement-quality: purposeful; form-expression: divine]\
שפע חכמה ציור	Hebrew	shefa-chochma-tziyur	wisdom-flow-drawing	Mixed Response	Abundance Wisdom Drawing	/[flow-abundance: plentiful; wisdom-depth: profound; artistic-expression: inspired]\
ॐ मणि पद्मे हूँ	Hindi-Devanagari	om-mani-padme-hum	Om, the jewel in the lotus, hum	Mantra	Om The Jewel in the Lotus Hum; Seed containing the universe, each word a portal.	/[sound: sacred manifestation: divine]\
अनेन अहं मुक्तोऽस्मि	Hindi-Devanagari	anena-aham-mukto'smi	By this, I am liberated	Declaration of Liberation	By This I Am Liberated	/[liberation: active self: transforming]\
अयं आत्मा ब्रह्म	Hindi-Devanagari	ayam-atma-brahma	This Self is Brahman	Philosophical Declaration	This Self is Brahman	/[identity-truth: absolute; consciousness-expansion: infinite; self-realization: complete]\
असतो मा सद्गमय	Hindi-Devanagari	asato-ma-sadgamaya	Lead us from falsehood to truth	Prayer	Lead Me From Untruth to Truth	/[truth: seeking untruth: dissolving]\
अहं ब्रह्मास्मि	Hindi-Devanagari	aham-brahmasmi	I am Brahman	Philosophical Assertion	I Am Brahman	/[identity: absolute truth: supreme]\
अहंकारो न कर्तव्यः	Hindi-Devanagari	ahamkaro-na-kartavyah	Ego should not be done	Ethical Admonition	Ego Should Not Be Done	/[ego: dissolving wisdom: rising]\
अहिंसा परमोधर्मः	Hindi-Devanagari	ahimsa-paramo-dharmah	Non-violence is the highest virtue	Ethical Principle	Non-violence is Highest Duty	/[non-violence: supreme duty: highest]\
उत्तिष्ठत जाग्रत प्राप्य वरान्निबोधत	Hindi-Devanagari	uttisthata-jagrata-praapya-varannibodhata	Arise, awake, and learn from the wise	Upanishadic Call	Arise Awake Attain Understanding	/[awakening: active wisdom: seeking]\
जननी जन्मभूमिश्च स्वर्गादपि गरीयसी	Hindi-Devanagari	janani-janmabhumisca-svargadapi-gariyasi	Mother and motherland are greater than heaven	Patriotic Sentiment	Mother and Motherland Greater Than Heaven	/[devotion: supreme geography: sacred]\
ज्ञान धारा प्रवाह	Hindi-Devanagari	jnana-dhara-pravaha	knowledge-stream-flow	Mixed Response	Knowledge Stream Flow	/[knowledge: flowing wisdom: streaming]\
ज्ञानं परमं बलम्	Hindi-Devanagari	jnanam-paramam-balam	Knowledge is the supreme power	Proverb	Knowledge is Supreme Power	/[knowledge: supreme power: absolute]\
टेज धारा चित्र	Hindi-Devanagari	tejas-dhara-chitra	luminous flow vision	Proposed	Radiant Force (टेज): The Sanskrit concept of brilliant energy or luminous power", "Flowing Current (धारा): The continuous stream or flow of energy/consciousness", "Sacred Visualization (चित्र): The manifestation or pictorial representation of spiritual reality", "Luminous Flow Vision: Integration of radiant energy, flow patterns, and sacred visualization"	/[brilliance-current: luminous,flow-intensity: powerful,visualization-clarity: radiant]\
तत् त्वम् असि	Hindi-Devanagari	tat-tvam-asi	Thou art that	Philosophical Assertion	That Thou Art	/[identity-truth: absolute; recognition-depth: profound; unity-realization: complete]\
तमसो मा ज्योतिर्गमय	Hindi-Devanagari	tamaso-ma-jyotirgamaya	Lead us from darkness to light	Prayer	Lead Me From Darkness to Light	/[transformation: active light: ascending]\
तेज धारा चित्र	Hindi-Devanagari	teja-dhara-chitra	energy-stream-picture	Technical Visualization	Energy Stream Picture	/[energy: dynamic flow: continuous]\
त्वमेव केवलं कर्तासि	Hindi-Devanagari	tvameva-kevalam-kartasi	You alone are the doer	Devotional Statement	Thou Alone Art the Doer	/[divine-agency: absolute; sole-source: complete; action-origination: ultimate]\
नमस्ते	Hindi-Devanagari	namaste	Greetings to you	Salutation	Divine Recognition	/[respect: active divine: present]\
नास्ति मे संशयः	Hindi-Devanagari	nasti-me-samsayah	I have no doubt	Affirmation	I Have No Doubt	/[certainty: strong clarity: complete]\
मा कश्चिद् दुःखभाग् भवेत्	Hindi-Devanagari	ma-kascid-duhkha-bhag-bhavet	May no one experience sorrow	Blessing	May None Suffer	/[protection: universal suffering: dissolving]\
मृत्योर्मा अमृतं गमय	Hindi-Devanagari	mrtyorma-amrtam-gamaya	Lead us from death to immortality	Prayer	Lead Me From Death to Immortality	/[immortality: seeking death: transcending]\
योगश्चित्तवृत्तिनिरोधः	Hindi-Devanagari	yogaschittavrttinirodhah	Yoga is the cessation of the fluctuations of the mind	Yoga Sutra Definition	Yoga is Mind-Fluctuation Cessation	/[mental-stillness: complete; fluctuation-cessation: perfect; consciousness-clarity: crystal]\
वयं अमृतस्य पुत्राः	Hindi-Devanagari	vayam-amrtasya-putrah	We are children of immortality	Spiritual Declaration	We Are Children of Immortality	/[immortal-essence: eternal; divine-lineage: unbroken; identity-truth: absolute]\
वसुधैव कुटुम्बकम्	Hindi-Devanagari	vasudhaiva-kutumbakam	The world is one family	Universalist Ideal	The World is One Family	/[unity: universal family: complete]\
विधि तरंग चित्र	Hindi-Devanagari	vidhi-taranga-chitra	method-wave-picture	Technical Visualization	Method Wave Picture	/[method: flowing wave: visible]\
शब्दो ब्रह्म	Hindi-Devanagari	shabdo-brahma	Word is Brahman	Philosophical Concept	Sound is Divine	/[vibrational-origin: primordial; divine-essence: absolute; resonance-truth: fundamental]\
शान्तिः शान्तिः शान्तिः	Hindi-Devanagari	shantih-shantih-shantih	Peace, peace, peace	Benediction	Peace Peace Peace	/[peace: absolute tranquility: complete]\
